sentence	label_name	Language	label_ID
সমকামী বিবাহের সমর্থকরা সমকামী বিবাহের বৈধতাকে বৃহত্তর সমতা এবং অন্তর্ভুক্তির দিকে একটি ইতিবাচক রাজনৈতিক পদক্ষেপ হিসাবে দেখেন।	Policy Prescription and Evaluation	bn	6.0
সমকামী বিবাহের বিরোধীরা যুক্তি দেয় যে এর নেতিবাচক সামাজিক এবং সাংস্কৃতিক পরিণতি রয়েছে এবং সমকামী দম্পতিদের মুখোমুখি হওয়া সমস্যার একটি কার্যকর রাজনৈতিক সমাধান দেয় না।	Policy Prescription and Evaluation	bn	6.0
সমকামী বিবাহকে বৈধ করার ক্ষেত্রে কোন অপরাধ বা অপরাধমূলক পরিণতি নেই।	Crime and Punishment	bn	7.0
যাইহোক, সমকামী বিবাহের বিরোধীরা প্রায়শই যুক্তি দেয় যে এটি ঐতিহ্যগত পারিবারিক মূল্যবোধ এবং নৈতিক মানকে ধ্বংস করবে, যা তারা বলে যে নেতিবাচক সামাজিক পরিণতি হবে।	Crime and Punishment	bn	7.0
সমকামী বিবাহকে বৈধ করার কোন অন্তর্নিহিত নিরাপত্তা বা নিরাপত্তার প্রভাব নেই।	Security and Defense	bn	8.0
কিন্তু সমকামী বিবাহের কিছু বিরোধীরা দাবি করে যে এটি ঐতিহ্যগত পারিবারিক কাঠামোকে দুর্বল করে, যা তারা বলে যে শক্তিশালী সামাজিক মূল্যবোধ এবং জাতীয় প্রতিরক্ষার জন্য অপরিহার্য।	Security and Defense	bn	8.0
সমকামী বিবাহের বৈধকরণ স্বাস্থ্য বীমা এবং হাসপাতালে পরিদর্শনের অধিকারের মতো গুরুত্বপূর্ণ আইনি ও চিকিৎসা সুবিধার অ্যাক্সেস সহ সমকামী দম্পতিদের প্রদান করে স্বাস্থ্য ও নিরাপত্তার উপর ইতিবাচক প্রভাব ফেলেছে।	Health and Safety	bn	9.0
সমকামী বিবাহের বিরোধীরা যুক্তি দেয় যে এটি নেতিবাচক স্বাস্থ্যের পরিণতি ঘটাতে পারে, যার মধ্যে রয়েছে:	Health and Safety	bn	9.0
সমকামী বিবাহকে বৈধ করা সমকামী দম্পতিদের আরও বেশি আইনি স্বীকৃতি এবং গুরুত্বপূর্ণ সুবিধা এবং সংস্থানগুলিতে অ্যাক্সেস প্রদানের মাধ্যমে তাদের জীবনমানের উপর ইতিবাচক প্রভাব ফেলবে।	Quality of Life	bn	10.0
সমকামী বিবাহের বিরোধীরা প্রায়শই যুক্তি দেয় যে এটি ঐতিহ্যগত পারিবারিক কাঠামো এবং মূল্যবোধকে ব্যাহত করে, যা ব্যক্তি এবং পরিবারের জীবনযাত্রার মানকে নেতিবাচকভাবে প্রভাবিত করে।	Quality of Life	bn	10.0
সমকামী বিবাহকে LGBTQ+ অধিকার এবং গ্রহণযোগ্যতার প্রতি পরিবর্তনশীল সাংস্কৃতিক মনোভাবের প্রতিফলন হিসাবে দেখা যেতে পারে।	Cultural Identity	bn	11.0
সমকামী বিবাহের বিরোধীরা প্রায়শই ঐতিহ্যগত সাংস্কৃতিক মূল্যবোধ এবং নিয়ম সংরক্ষণ নিয়ে আলোচনা করে।	Cultural Identity	bn	11.0
সমকামী বিবাহের বিষয়ে জনমত সাম্প্রতিক বছরগুলিতে নাটকীয়ভাবে পরিবর্তিত হয়েছে, সমকামী সম্পর্কের আইনি স্বীকৃতির জন্য ক্রমবর্ধমান সমর্থন সহ।	Public Sentiment	bn	12.0
যাইহোক, সমকামী বিবাহের কিছু বিরোধীরা যুক্তি দেন যে জনমতের নীতিগত সিদ্ধান্তগুলিকে প্রভাবিত করা উচিত নয় এবং বিবাহকে একজন পুরুষ এবং একজন মহিলার মধ্যে সংজ্ঞায়িত করা উচিত।	Public Sentiment	bn	12.0
সমকামী বিবাহ একটি অত্যন্ত রাজনৈতিক ইস্যু, বিভিন্ন রাজনৈতিক দল এবং স্বার্থ গোষ্ঠী এই বিষয়ে বিভিন্ন অবস্থান গ্রহণ করে।	Political	bn	13.0
সমকামী বিবাহের বৈধতা প্রায়ই নির্বাচনের সময় একটি রাজনৈতিক ইস্যুতে পরিণত হয়, কারণ প্রার্থীরা তাদের প্ল্যাটফর্মে মন্তব্য করেন।	Political	bn	13.0
সমকামী বিবাহের আইনী অবস্থা একটি দেশের আন্তর্জাতিক অবস্থানকে প্রভাবিত করতে পারে, বিশেষ করে মানবাধিকার এবং LGBTQ+ বিষয়গুলির উপর তার অবস্থানের ক্ষেত্রে।	External Regulation and Reputation	bn	14.0
সমকামী বিয়ের কিছু বিরোধীরা দাবি করে যে এটি দেশের ভাবমূর্তি এবং অন্যান্য দেশের সাথে তার সম্পর্কের ক্ষতি করে।	External Regulation and Reputation	bn	14.0
সমকামী বিবাহ অন্যান্য অনেক সমস্যার সাথে জড়িত, যেমন দত্তক গ্রহণ এবং শিশুর হেফাজত, বৈষম্য এবং ঘৃণামূলক অপরাধ এবং স্বাস্থ্য বৈষম্য।	Other	bn	15.0
সমলিঙ্গের বিবাহ বিতর্ক জটিল এবং বহুমুখী এবং প্রায়ই বিভিন্ন স্বার্থ গোষ্ঠী এবং দৃষ্টিভঙ্গি জড়িত।	Other	bn	15.0
অভিবাসন অর্থনীতিতে ইতিবাচক এবং নেতিবাচক প্রভাব ফেলে, যদিও এটি কর্মসংস্থান এবং ভোগের মাধ্যমে অর্থনীতিতে অবদান রাখে, এটি জনসাধারণের সম্পদও ব্যবহার করে।	Economic	bn	1.0
কেউ কেউ যুক্তি দেন যে অর্থনৈতিক প্রবৃদ্ধির জন্য অভিবাসন প্রয়োজনীয়, বিশেষ করে শ্রম-দুষ্প্রাপ্য খাতে, অন্যরা যুক্তি দেয় যে এটি স্থানীয় শ্রমিকদের তাদের চাকরি হারায়।	Economic	bn	1.0
অভিবাসন জনসাধারণের সম্পদ যেমন স্বাস্থ্য, শিক্ষা এবং আবাসনের উপর চাপ সৃষ্টি করে, বিশেষ করে বড় অভিবাসী জনসংখ্যার এলাকায়।	Capacity and Resources	bn	2.0
কিন্তু কেউ কেউ যুক্তি দেন যে অভিবাসীরাও এমন দক্ষতা এবং ক্ষমতা নিয়ে আসে যা সমাজকে উপকৃত করে এবং এই সম্পদগুলির বিকাশে অবদান রাখে।	Capacity and Resources	bn	2.0
অভিবাসনের নৈতিকতা একটি বিতর্কিত বিষয়, কেউ কেউ যুক্তি দিয়েছিলেন যে যারা প্রয়োজন তাদের সুরক্ষা এবং সুযোগ প্রদান করা একটি নৈতিক বাধ্যতামূলক, যখন অন্যরা বিশ্বাস করে যে এটি অনথিভুক্ত অভিবাসীদের দেশে থাকার অনুমতি দেওয়া অনৈতিক।	Morality	bn	3.0
অভিবাসন নিয়ে বিতর্ক প্রায়ই ন্যায়বিচার ও সমতার ইস্যুকে ঘিরে থাকে। কেউ কেউ যুক্তি দেখান যে স্থানীয় জন্মগ্রহণকারী নাগরিকদের চেয়ে অভিবাসীদের চাহিদাকে অগ্রাধিকার দেওয়া অন্যায্য, অন্যরা যুক্তি দেয় যে অভিবাসীদের জাতীয়তা নির্বিশেষে সমান সুযোগ থাকা উচিত।	Fairness and Equality	bn	4.0
অভিবাসনের বৈধতা বিভিন্ন ধরনের অভিবাসন এবং ভিসা নিয়ন্ত্রণকারী বিভিন্ন আইন ও প্রবিধান সহ একটি জটিল সমস্যা।	Legality, Constitutionality, Jurisdiction	bn	5.0
কেউ কেউ বিশ্বাস করেন অভিবাসন নীতি অসাংবিধানিক বা অন্যায্য, আবার কেউ কেউ বিশ্বাস করেন যে এটি জাতীয় নিরাপত্তা কার্যকর করা এবং রক্ষা করা গুরুত্বপূর্ণ।	Legality, Constitutionality, Jurisdiction	bn	5.0
বিভিন্ন অভিবাসন নীতি এবং কর্মসূচির কার্যকারিতা একটি চলমান বিতর্ক কারণ বিভিন্ন স্টেকহোল্ডার অভিবাসন চ্যালেঞ্জ এবং সুযোগের বিভিন্ন সমাধানের প্রস্তাব করে।	Policy Prescription and Evaluation	bn	6.0
অভিবাসন নীতি এবং কর্মসূচি কার্যকর এবং ন্যায্য তা নিশ্চিত করার জন্য মূল্যায়ন গুরুত্বপূর্ণ।	Policy Prescription and Evaluation	bn	6.0
অভিবাসন এবং অপরাধের মধ্যে সম্পর্ক বিতর্কিত, কিছু যুক্তি দিয়ে যে অভিবাসীরা অপরাধ করার সম্ভাবনা বেশি এবং জননিরাপত্তার জন্য হুমকি সৃষ্টি করে, অন্যরা যুক্তি দেয় যে অভিবাসীদের স্থানীয় নাগরিকদের তুলনায় অপরাধ করার সম্ভাবনা কম।	Crime and Punishment	bn	7.0
জাতীয় নিরাপত্তা এবং জাতীয় নিরাপত্তার জন্য অভিবাসনের প্রভাব রয়েছে, বিশেষ করে অভিবাসীদের স্ক্রীনিং ও নিয়ন্ত্রণ করা এবং সম্ভাব্য হুমকির প্রবেশ রোধ করা।	Security and Defense	bn	8.0
কিন্তু কেউ কেউ যুক্তি দেন যে অতিমাত্রায় সীমাবদ্ধ অভিবাসন নীতি অন্যান্য দেশের সাথে সম্পর্কের ক্ষতি করতে পারে এবং সহযোগিতা ও উদ্ভাবনের সুযোগ সীমিত করতে পারে।	Security and Defense	bn	8.0
মাইগ্রেশন জনস্বাস্থ্য এবং নিরাপত্তার জন্য প্রভাব ফেলে, বিশেষ করে রোগের বিস্তার এবং স্বাস্থ্যসেবা অ্যাক্সেসের ক্ষেত্রে।	Health and Safety	bn	9.0
যাইহোক, কেউ কেউ যুক্তি দেন যে স্বাস্থ্যসেবা এবং সামাজিক পরিষেবার বিধান সামগ্রিক জনস্বাস্থ্য ফলাফল উন্নত করতে পারে এবং জরুরী পরিষেবাগুলির উপর চাপ কমাতে পারে।	Health and Safety	bn	9.0
অর্থনৈতিক অবস্থা, সামাজিক সংহতি এবং সাংস্কৃতিক পরিচয়ের মতো কারণের উপর নির্ভর করে অভিবাসন অভিবাসী এবং স্থানীয় নাগরিক উভয়ের জীবনমানের উপর ইতিবাচক এবং নেতিবাচক প্রভাব ফেলতে পারে।	Quality of Life	bn	10.0
কেউ কেউ যুক্তি দেন যে অভিবাসন বৈচিত্র্য এবং সাংস্কৃতিক বিনিময়কে উৎসাহিত করে, অন্যরা বিশ্বাস করে যে এটি সামাজিক ও অর্থনৈতিক বিভাজনের দিকে পরিচালিত করেছে।	Quality of Life	bn	10.0
অভিবাসন সাংস্কৃতিক পরিচয়ের উপর প্রভাব ফেলে, বিশেষ করে ভাষা, ঐতিহ্য এবং মূল্যবোধের ক্ষেত্রে।	Cultural Identity	bn	11.0
কেউ কেউ যুক্তি দেখান যে অভিবাসন সাংস্কৃতিক অভিজ্ঞতাকে সমৃদ্ধ ও বৈচিত্র্যময় করতে পারে, অন্যরা যুক্তি দেয় যে এটি জাতীয় পরিচয় এবং সামাজিক সংহতির পতন ঘটাতে পারে।	Cultural Identity	bn	11.0
অভিবাসন বিষয়ে জনমত মেরুকরণ করা হয়েছে, কেউ কেউ আরও অভিবাসনের পক্ষে সমর্থন প্রকাশ করে, অন্যরা আরও নিয়ন্ত্রণ এবং বিধিনিষেধের আহ্বান জানায়।	Public Sentiment	bn	12.0
মিডিয়া এবং রাজনীতিবিদরা অভিবাসীদের যেভাবে চিত্রিত করে তা জনমত এবং রাজনৈতিক সিদ্ধান্তকে প্রভাবিত করতে পারে।	Public Sentiment	bn	12.0
অভিবাসন একটি অত্যন্ত রাজনৈতিক ইস্যু, বিভিন্ন রাজনৈতিক দল এবং স্বার্থ গোষ্ঠী এই বিষয়ে বিভিন্ন অবস্থান গ্রহণ করে।	Political	bn	13.0
ইমিগ্রেশন বিতর্ক প্রায়ই নির্বাচনের সময় একটি রাজনৈতিক ইস্যুতে পরিণত হয়, প্রার্থীরা তাদের নিজস্ব প্ল্যাটফর্মে এই বিষয়ে অবস্থান নেয়।	Political	bn	13.0
কিভাবে একটি দেশ অভিবাসন পরিচালনা করে তার খ্যাতি এবং অন্যান্য দেশের সাথে সম্পর্ককে প্রভাবিত করতে পারে, বিশেষ করে যখন এটি মানবাধিকার এবং আন্তর্জাতিক আইনের ক্ষেত্রে আসে।	External Regulation and Reputation	bn	14.0
অভিবাসনের ধরণগুলিও বাহ্যিক চাপ এবং আন্তর্জাতিক সংস্থা ও চুক্তির নিয়ম দ্বারা প্রভাবিত হয়।	External Regulation and Reputation	bn	14.0
অভিবাসন সম্পর্কিত অন্যান্য সমস্যাগুলির মধ্যে রয়েছে পারিবারিক গতিশীলতার উপর প্রভাব, জনসংখ্যার প্রবণতা গঠনে অভিবাসীদের ভূমিকা এবং সমাজে অভিবাসীদের সাংস্কৃতিক বিনিময় এবং একীকরণ।	Other	bn	15.0
এই বিষয়গুলি দেশের সামাজিক, অর্থনৈতিক ও রাজনৈতিক গতিশীলতার উপর উল্লেখযোগ্য প্রভাব ফেলে।	Other	bn	15.0
স্থানীয় ব্যবসা ও পর্যটন বৃদ্ধি এবং রাষ্ট্রীয় কর রাজস্ব বৃদ্ধি করে সমকামী বিবাহ একটি ইতিবাচক অর্থনৈতিক প্রভাব ফেলতে পারে।	Economic	bn	1.0
বিরোধীরা দাবি করেন যে সমকামী বিবাহ ঐতিহ্যগত বিবাহ এবং পারিবারিক কাঠামোকে ব্যাহত করে এবং অর্থনীতিতে নেতিবাচক প্রভাব ফেলে।	Economic	bn	1.0
সমকামী বিবাহকে বৈধ করা সমকামী দম্পতিদের স্বাস্থ্যসেবা এবং পিতামাতার অধিকারের মতো সম্পদ এবং সুবিধাগুলিতে অ্যাক্সেস বৃদ্ধি করবে।	Capacity and Resources	bn	2.0
সমালোচকরা যুক্তি দেন যে সমকামী বিবাহের জন্য সম্পদ এবং ক্ষমতা প্রয়োজন কারণ এর জন্য আইনি কাঠামো এবং প্রতিষ্ঠানের পরিবর্তন প্রয়োজন।	Capacity and Resources	bn	2.0
সমকামী বিবাহের সমর্থকরা যুক্তি দেন যে যৌন অভিমুখ নির্বিশেষে সকল মানুষের সমান অধিকার এবং মর্যাদাকে স্বীকৃতি দেওয়া একটি নৈতিক বাধ্যতামূলক।	Morality	bn	3.0
বিরোধীরা যুক্তি দেয় যে সমকামী বিবাহ অনৈতিক এবং ঐতিহ্যগত ধর্মীয় ও সাংস্কৃতিক মূল্যবোধকে লঙ্ঘন করে।	Morality	bn	3.0
সমকামী বিবাহ LGBTQ+ লোকেদের জন্য একটি গুরুত্বপূর্ণ ন্যায়বিচার এবং সমতার সমস্যা হিসাবে বিবেচিত হয়, যা বিষমকামী দম্পতিদের মতো একই আইনি অধিকার এবং সুরক্ষা প্রদান করে।	Fairness and Equality	bn	4.0
সমালোচকরা যুক্তি দেন যে সমকামী বিবাহ একটি সমতা সমস্যা নয় কারণ এটি বিবাহের ঐতিহ্যগত সংজ্ঞার একটি পুনঃসংজ্ঞা প্রয়োজন।	Fairness and Equality	bn	4.0
সাংবিধানিক ব্যাখ্যা এবং বিচারিক মতামত ভিন্ন আদালত এবং সরকারগুলির সাথে সমকামী বিবাহের বৈধতা নিয়ে বিতর্ক হয়েছে৷	Legality, Constitutionality, Jurisdiction	bn	5.0
বিরোধীরা যুক্তি দেন যে সমকামী বিবাহকে বৈধ করা উচিত নয় কারণ সংবিধান বা নজির স্পষ্টভাবে সমকামী বিবাহকে বাধ্যতামূলক করে না।	Legality, Constitutionality, Jurisdiction	bn	5.0
সমকামী বিবাহের নীতি সেটিং রাজনৈতিক এবং সাংস্কৃতিক কারণ অনুযায়ী পরিবর্তিত হয়। কিছু দেশ এটিকে বৈধ করে যখন অন্যরা এটি নিষিদ্ধ করে।	Policy Prescription and Evaluation	bn	6.0
সমকামী বিবাহের সামাজিক এবং ব্যক্তিগত প্রভাব মূল্যায়ন একটি চলমান প্রক্রিয়া, গবেষণা ইতিবাচক এবং নেতিবাচক উভয় ফলাফলই দেখায়।	Policy Prescription and Evaluation	bn	6.0
কিছু বিচারব্যবস্থা সমকামী বিবাহকে অপরাধী করে, এবং ব্যক্তিরা সমকামী সম্পর্কের জন্য আইনি নিষেধাজ্ঞা বা সামাজিক বিচারের সম্মুখীন হয়।	Crime and Punishment	bn	7.0
সমকামী বিবাহকে বৈধ করার প্রচেষ্টাকে প্রায়ই যৌন অভিমুখের উপর ভিত্তি করে বৈষম্য এবং শাস্তির অবসানের উপায় হিসাবে দেখা হয়।	Crime and Punishment	bn	7.0
সমকামী বিবাহ জাতীয় নিরাপত্তা এবং মানবাধিকার এজেন্ডা, বিশেষ করে আন্তর্জাতিক সম্পর্ক ও কূটনীতির প্রেক্ষাপটে এগিয়ে যাওয়ার হাতিয়ার হিসেবে ব্যবহৃত হয়েছে।	Security and Defense	bn	8.0
সমালোচকরা বিশ্বাস করেন যে সমকামী বিবাহ বিবাহের প্রতিষ্ঠান এবং পরিবারকে দুর্বল করে এবং নেতিবাচকভাবে জাতীয় নিরাপত্তা এবং সামাজিক স্থিতিশীলতাকে প্রভাবিত করে।	Security and Defense	bn	8.0
সমকামী বিবাহকে বৈধ করা LGBTQ+ লোকেদের স্বাস্থ্যসেবা, বীমা এবং আইনি সুরক্ষার অ্যাক্সেস দিয়ে তাদের স্বাস্থ্য এবং নিরাপত্তা উন্নত করতে পারে।	Health and Safety	bn	9.0
বিরোধীরা দাবি করে যে সমলিঙ্গের বিবাহ ব্যক্তি এবং জনস্বাস্থ্যের জন্য ক্ষতিকর, যা রোগের বিস্তার এবং অন্যান্য নেতিবাচক ফলাফলের দিকে পরিচালিত করে।	Health and Safety	bn	9.0
LGBTQ+-এর আইনি ও সামাজিক স্বীকৃতির কারণে, LGBTQ+ মানুষের জীবনযাত্রার মান উন্নয়নে সমকামী বিবাহকে একটি গুরুত্বপূর্ণ কারণ হিসেবে বিবেচনা করা হয়।	Quality of Life	bn	10.0
সমালোচকরা যুক্তি দেন যে সমলিঙ্গের বিবাহ ঐতিহ্যগত মূল্যবোধ এবং কাঠামোকে ক্ষুণ্ন করে, নেতিবাচকভাবে ব্যক্তি এবং সমাজের জীবনযাত্রার মানকে প্রভাবিত করে।	Quality of Life	bn	10.0
সমকামী বিবাহকে LGBTQ+ সাংস্কৃতিক পরিচয়ের একটি মূল বিষয় হিসাবে বিবেচনা করা হয়, কারণ এটি সমাজে তাদের অস্তিত্ব এবং অধিকারের মৌলিক স্বীকৃতির প্রতিনিধিত্ব করে।	Cultural Identity	bn	11.0
বিরোধীরা যুক্তি দেন যে সমলিঙ্গের বিয়ে ঐতিহ্যগত সাংস্কৃতিক পরিচয় ও মূল্যবোধকে হুমকির মুখে ফেলে এবং সামাজিক ও নৈতিক অবক্ষয়ের দিকে নিয়ে যেতে পারে।	Cultural Identity	bn	11.0
সময়ের সাথে সাথে, সমকামী বিবাহের বিষয়ে জনমতও গড়ে উঠেছে এবং আরও বেশি সংখ্যক দেশ এবং অঞ্চল সমকামী বিবাহকে গ্রহণ ও সমর্থন করে।	Public Sentiment	bn	12.0
সমকামী বিবাহকে বৈধ করার ড্রাইভ প্রায়ই জনসাধারণের অনুভূতি দ্বারা চালিত হয়, রাজনীতিবিদ এবং সংস্থাগুলি পরিবর্তনশীল মনোভাব এবং ধারণাগুলির প্রতি প্রতিক্রিয়া জানায়।	Public Sentiment	bn	12.0
সমকামী বিবাহের বিষয়টি প্রায়শই রাজনৈতিক হয়, রাজনৈতিক দল এবং রাজনীতিবিদরা তাদের মূল্যবোধ এবং মতাদর্শের উপর নির্ভর করে বিভিন্ন অবস্থান গ্রহণ করে।	Political	bn	13.0
LGBTQ+ অধিকার কর্মীদের জন্য সমকামী বিবাহকে বৈধতা দেওয়া একটি প্রধান রাজনৈতিক সমস্যা হয়ে দাঁড়িয়েছে, যারা এটিকে বৃহত্তর সামাজিক এবং আইনি সমতা অর্জনের উপায় হিসেবে দেখেন।	Political	bn	13.0
সমকামী বিবাহকে প্রায়শই সামাজিক অগ্রগতি এবং মানবাধিকারের প্রতি দেশের প্রতিশ্রুতির একটি পরিমাপ হিসাবে দেখা হয়, তবে আন্তর্জাতিক গোষ্ঠী এবং মিত্ররা এটিকে বৈধ করার জন্য সরকারকে চাপ দিচ্ছে।	External Regulation and Reputation	bn	14.0
বিরোধীরা যুক্তি দেয় যে সমকামী বিবাহকে বৈধ করার বাইরের চাপ জাতীয় সার্বভৌমত্ব এবং সাংস্কৃতিক মূল্যবোধকে লঙ্ঘন করে।	External Regulation and Reputation	bn	14.0
সমকামী বিবাহ একটি অত্যন্ত বিতর্কিত এবং মানসিক সমস্যা যেখানে উভয় পক্ষের ব্যক্তি এবং গোষ্ঠী তাদের বিশ্বাস এবং মূল্যবোধের জন্য লড়াই করে।	Other	bn	15.0
সমলিঙ্গের বিবাহ বিতর্ক জটিল এবং বহুমুখী এবং পরিচয়, মূল্যবোধ এবং ক্ষমতার চারপাশে বৃহত্তর সামাজিক ও সাংস্কৃতিক উত্তেজনা প্রতিফলিত করে।	Other	bn	15.0
অভিবাসনের ইতিবাচক এবং নেতিবাচক উভয় অর্থনৈতিক প্রভাব রয়েছে, কিছু যুক্তি দিয়ে যে এটি মূল্যবান শ্রম এবং দক্ষতা নিয়ে আসে, অন্যরা যুক্তি দেয় যে এটি মজুরি হ্রাস করে এবং সামাজিক পরিষেবাগুলিকে আঘাত করে।	Economic	bn	1.0
অনেক কোম্পানি অভিবাসী শ্রমিকদের উপর নির্ভর করে, বিশেষ করে কৃষি, আতিথেয়তা এবং নির্মাণের মতো শিল্পে।	Economic	bn	1.0
অভিবাসন একটি দেশের অবকাঠামো এবং সংস্থানগুলির উপর চাপ সৃষ্টি করে, যেমন আবাসন, পরিবহন এবং স্বাস্থ্যসেবা, বিশেষত পরিষেবার উচ্চ চাহিদা রয়েছে এমন এলাকায়।	Capacity and Resources	bn	2.0
অনেক দেশ তাদের সম্পদ এবং সহায়তা প্রদানের ক্ষমতার ভিত্তিতে অভিবাসীদের গ্রহণ করতে পারে এমন সংখ্যা সীমিত করে।	Capacity and Resources	bn	2.0
কেউ কেউ অভিবাসনকে একটি নৈতিক বাধ্যবাধকতা হিসাবে দেখেন যারা প্রয়োজনে সাহায্য করেন, বিশেষ করে শরণার্থীরা তাদের নিজের দেশে সহিংসতা বা নিপীড়ন থেকে পালিয়ে যায়।	Morality	bn	3.0
অন্যরা যুক্তি দেখান যে অভিবাসীদের অবৈধভাবে প্রবেশের অনুমতি দেওয়া বা অভিবাসী শ্রমিকদের শোষণ করা অনৈতিক।	Morality	bn	3.0
অনেকে যুক্তি দেয় যে অভিবাসন নীতি ন্যায়বিচার ও সমতার নীতির উপর ভিত্তি করে হওয়া উচিত এবং অভিবাসীদের সাথে মর্যাদা ও সম্মানের সাথে আচরণ করা উচিত।	Fairness and Equality	bn	4.0
অন্যরা যুক্তি দেয় যে নাগরিকদের চেয়ে অভিবাসীদের অগ্রাধিকার দেওয়া অন্যায্য এবং অন্যায্য।	Fairness and Equality	bn	4.0
অভিবাসন নীতি আইনগত এবং সাংবিধানিক চ্যালেঞ্জের সম্মুখীন, বিশেষ করে নাগরিকত্ব, নির্বাসন এবং আশ্রয়কে ঘিরে।	Legality, Constitutionality, Jurisdiction	bn	5.0
স্থানীয়, রাজ্য এবং ফেডারেল সরকার অভিবাসন নীতিতে ভূমিকা পালন করে অনেক দেশের বিচার বিভাগের পার্থক্য রয়েছে।	Legality, Constitutionality, Jurisdiction	bn	5.0
অভিবাসন নীতি প্রায়শই নীতি প্রণয়ন এবং মূল্যায়ন দ্বারা নির্ধারিত হয়, যেখানে বিশেষজ্ঞ এবং নীতি নির্ধারকরা বিভিন্ন পদ্ধতির খরচ এবং সুবিধার ওজন করেন।	Policy Prescription and Evaluation	bn	6.0
কেউ কেউ যুক্তি দেন যে কৌশলটি প্রমাণ-ভিত্তিক এবং ডেটা-চালিত হওয়া উচিত, অন্যরা তাত্ত্বিক বা রাজনৈতিক কারণের উপর জোর দেয়।	Policy Prescription and Evaluation	bn	6.0
অভিবাসন নীতি প্রায়শই অপরাধ এবং শাস্তির বিষয়গুলির সাথে যুক্ত থাকে এবং কেউ কেউ যুক্তি দেন যে অভিবাসীদের অপরাধ করার সম্ভাবনা বেশি এবং তাদের কঠোর প্রয়োগের বিষয় হওয়া উচিত।	Crime and Punishment	bn	7.0
অন্যরা যুক্তি দেখান যে অভিবাসীরা অন্যায়ভাবে লক্ষ্যবস্তু করা হয় এবং নীতিগুলি অপরাধ হ্রাস এবং সমস্ত বাসিন্দাদের জন্য জননিরাপত্তার উন্নতিতে ফোকাস করা উচিত।	Crime and Punishment	bn	7.0
